Titre :;Dollar australien (AUD);Real brésilien (BRL);Dollar canadien (CAD);Franc suisse (CHF);Yuan renminbi chinois (CNY);Couronne tchèque (CZK);Couronne danoise (DKK);Livre sterling (GBP);Dollar de Hong Kong (HKD);Forint hongrois (HUF);Roupie indonésienne (IDR);Sheqel israélien (ILS);Roupie Indienne (100 paise);Couronne islandaise (ISK);Yen japonais (JPY);Won coréen (KRW);Peso méxicain (MXN);Ringgit malaisien (MYR);Couronne norvégienne (NOK);Dollar neo-zélandais (NZD);Peso philippin (PHP);Zloty polonais (PLN);Leu roumain (RON);Couronne suédoise (SEK);Dollar de Singapour (SGD);Baht thaïlandais (THB);Livre turque (TRY);Dollar des Etats-Unis (USD);Rand sud-africain (ZAR)
Code série :;EXR.D.AUD.EUR.SP00.A;EXR.D.BRL.EUR.SP00.A;EXR.D.CAD.EUR.SP00.A;EXR.D.CHF.EUR.SP00.A;EXR.D.CNY.EUR.SP00.A;EXR.D.CZK.EUR.SP00.A;EXR.D.DKK.EUR.SP00.A;EXR.D.GBP.EUR.SP00.A;EXR.D.HKD.EUR.SP00.A;EXR.D.HUF.EUR.SP00.A;EXR.D.IDR.EUR.SP00.A;EXR.D.ILS.EUR.SP00.A;EXR.D.INR.EUR.SP00.A;EXR.D.ISK.EUR.SP00.A;EXR.D.JPY.EUR.SP00.A;EXR.D.KRW.EUR.SP00.A;EXR.D.MXN.EUR.SP00.A;EXR.D.MYR.EUR.SP00.A;EXR.D.NOK.EUR.SP00.A;EXR.D.NZD.EUR.SP00.A;EXR.D.PHP.EUR.SP00.A;EXR.D.PLN.EUR.SP00.A;EXR.D.RON.EUR.SP00.A;EXR.D.SEK.EUR.SP00.A;EXR.D.SGD.EUR.SP00.A;EXR.D.THB.EUR.SP00.A;EXR.D.TRY.EUR.SP00.A;EXR.D.USD.EUR.SP00.A;EXR.D.ZAR.EUR.SP00.A
Unité :;Dollar Australien (AUD);Real Bresilien (BRL);Dollar Canadien (CAD);Franc Suisse (CHF);Yuan Ren Min Bi (CNY);Couronne Tcheque (CZK);Couronne Danoise (DKK);Livre Sterling (GBP);Dollar de Hong Kong (HKD);Forint (HUF);Rupiah (IDR);Nouveau Israeli Shekel (ILS);Roupie Indienne (INR);Couronne Islandaise (ISK);Yen (JPY);Won (KRW);Nouveau Peso Mexicain (MXN);Ringgit de Malaisie (MYR);Couronne Norvegienne (NOK);Dollar Neo-Zelandais (NZD);Peso Philippin (PHP);Zloty (PLN);Nouveau Ron (RON);Couronne Suedoise (SEK);Dollar de Singapour (SGD);Baht (THB);Nouvelle Livre Turque (TRY);Dollar des Etats-Unis (USD);Rand (ZAR)
Magnitude :;Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0)
Méthode d'observation :;Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A)
Source :;BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0);BCE (Banque Centrale Européenne) (4F0)
2026-03-19;1,6403;6,0877;1,577;0,9121;7,9279;24,517;7,4716;0,86388;8,9966;394,3;19485,57;3,5997;107,133;143,4;182,46;1725,2;20,5858;4,5259;10,996;1,98;69,112;4,2853;5,0972;10,8065;1,4744;37,805;50,92;1,1489;19,6105
2026-03-18;1,6305;6,0079;1,5774;0,9073;7,9214;24,467;7,472;0,86393;9,0135;392,83;19543,1;3,568;106,83;143,6;183,49;1729,08;20,3942;4,504;11,0205;1,9763;69,001;4,2713;5,0938;10,7778;1,4734;37,565;50,8539;1,15;19,4174
2026-03-17;1,6227;6,0064;1,5804;0,9068;7,9412;24,437;7,4718;0,8643;9,0355;388,33;19554,27;3,5733;106,5055;143,6;183,29;1714,87;20,3662;4,5178;11,073;1,9693;68,677;4,2593;5,0915;10,7055;1,4723;37,268;50,973;1,1531;19,2092
2026-03-16;1,6272;6,0492;1,5703;0,9041;7,9154;24,436;7,472;0,86408;8,9881;390,23;19472,25;3,58;105,8818;143,4;182,66;1711,08;20,4306;4,5114;11,149;1,9647;68,579;4,2683;5,0947;10,769;1,4676;37,143;50,7157;1,1478;19,2461
2026-03-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-03-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-03-13;1,6293;6,0172;1,5726;0,9034;7,9145;24,437;7,4726;0,86503;8,9827;391,48;19395,07;3,5883;106,0205;144,2;182,85;1711,87;20,4517;4,5198;11,159;1,9691;68,301;4,2675;5,0947;10,7545;1,4685;36,953;50,7122;1,1476;19,2754
2026-03-12;1,619;5,9607;1,5706;0,9028;7,9316;24,406;7,4722;0,86243;9,038;387,54;19498,09;3,5952;106,4745;144,6;183,43;1709,93;20,4526;4,5345;11,1575;1,9588;68,622;4,2578;5,0936;10,7108;1,4726;36,875;50,9333;1,1547;19,1007
2026-03-11;1,6195;5,9887;1,5742;0,9031;7,9518;24,377;7,4718;0,86363;9,0642;387,83;19569,86;3,5979;106,629;145,0;183,63;1710,64;20,4403;4,5357;11,17;1,9571;68,622;4,2523;5,0907;10,6543;1,4757;36,787;51,0671;1,1581;18,9949
2026-03-10;1,6355;6,0276;1,5777;0,9027;8,0057;24,38;7,4713;0,86545;9,1075;385,83;19634,06;3,5963;107,05;144,88;183,67;1711,37;20,4409;4,5691;11,147;1,9596;68,703;4,2548;5,0936;10,606;1,481;36,815;51,2728;1,1641;18,9618
2026-03-09;1,6465;6,0435;1,568;0,9008;7,9929;24,399;7,4708;0,8653;9,0311;396,38;19575,56;3,5948;106,65;145,1;183,15;1716,06;20,6231;4,5792;11,1545;1,9563;68,779;4,2785;5,0979;10,6945;1,4792;37,057;50,9394;1,1555;19,27
2026-03-08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-03-07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-03-06;1,6501;6,1002;1,5782;0,9045;7,9825;24,419;7,4708;0,86693;9,04;393,4;19623,06;3,5756;106,1745;144,9;182,57;1717,02;20,5624;4,562;11,1725;1,9687;68,525;4,2875;5,0951;10,693;1,481;36,966;50,9539;1,1561;19,3277
2026-03-05;1,649;6,0976;1,5828;0,9064;8,0177;24,396;7,4716;0,8695;9,0863;387,55;19644,7;3,5707;106,4773;144,7;183,03;1714,57;20,4869;4,581;11,214;1,9623;68,11;4,2725;5,0933;10,6885;1,4839;36,788;51,1125;1,1618;19,173
2026-03-04;1,6503;6,0805;1,591;0,9082;8,0347;24,36;7,4715;0,8705;9,1064;384,33;19633,92;3,5838;107,2678;144,7;183,02;1706,34;20,4415;4,5915;11,2385;1,9674;68,111;4,2588;5,0925;10,6785;1,4844;36,671;51,2254;1,1649;19,0098
2026-03-03;1,6534;6,0855;1,5883;0,9107;8,017;24,378;7,4704;0,8717;9,0552;387,89;19607,81;3,5945;106,9525;144,1;182,98;1715,95;20,3277;4,5797;11,2485;1,9688;67,853;4,2865;5,0981;10,7265;1,4833;36,861;51,0409;1,1606;19,0262
2026-03-02;1,6579;6,0908;1,5991;0,9117;8,0512;24,274;7,4712;0,8739;9,1509;381,7;19742,36;3,6066;107,317;143,9;184,19;1710,38;20,2947;4,5938;11,191;1,9709;68,135;4,244;5,0976;10,708;1,49;36,86;51,4229;1,1698;18,9055
2026-03-01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-27;1,6612;6,0862;1,6139;0,9104;8,0961;24,244;7,4718;0,8763;9,2359;376,63;19833,7;3,7107;107,5205;143,5;184,13;1702,25;20,3189;4,5933;11,2085;1,9731;68,095;4,2243;5,0957;10,6643;1,4942;36,696;51,8946;1,1805;18,8178
2026-02-26;1,6592;6,0556;1,6155;0,914;8,0823;24,246;7,4719;0,8719;9,2417;375,2;19809,24;3,674;107,421;143,3;184,37;1684,25;20,2926;4,5909;11,293;1,9721;68,073;4,2225;5,0949;10,673;1,4922;36,694;51,8415;1,1814;18,7563
2026-02-25;1,6617;6,0437;1,6133;0,913;8,095;24,226;7,4713;0,8714;9,2157;375,88;19813,85;3,648;107,167;143,5;184,7;1682,64;20,2079;4,5852;11,2955;1,9727;67,83;4,2233;5,0941;10,6765;1,4906;36,642;51,6952;1,1784;18,6898
2026-02-24;1,6718;6,0968;1,6148;0,912;8,1046;24,225;7,4712;0,8731;9,2126;379,0;19823,58;3,6695;107,0865;144,7;183,53;1699,77;20,3539;4,586;11,2575;1,9783;68,027;4,2203;5,0947;10,688;1,4925;36,573;51,6441;1,1777;18,853
2026-02-23;1,6669;6,1059;1,6132;0,9145;8,1412;24,223;7,4707;0,8734;9,2136;379,65;19823,28;3,6769;107,115;144,9;182,44;1701,08;20,2649;4,5852;11,2585;1,975;67,913;4,2173;5,0969;10,6955;1,4923;36,56;51,6598;1,1784;18,8679
2026-02-22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-20;1,6697;6,1358;1,6112;0,9132;8,1294;24,241;7,4716;0,8728;9,1961;379,65;19872,87;3,6783;107,0155;144,9;182,63;1705,81;20,2402;4,5927;11,254;1,9763;68,428;4,2238;5,0978;10,6745;1,4931;36,719;51,5932;1,1767;18,9417
2026-02-19;1,6698;6,1519;1,6107;0,9119;8,1197;24,245;7,4717;0,8738;9,1846;379,73;19883,96;3,6888;107,183;144,9;182,05;1703,81;20,3086;4,5937;11,253;1,9728;68,225;4,2215;5,097;10,6915;1,4916;36,722;51,4426;1,1753;19,062
2026-02-18;1,6748;6,1865;1,6164;0,9124;8,1833;24,256;7,4714;0,8724;9,2565;378,23;20000,0;3,6775;107,425;144,9;181,99;1712,66;20,2709;4,6196;11,2285;1,973;68,551;4,2165;5,0929;10,616;1,4971;37,016;51,8305;1,1845;18,9794
2026-02-17;1,6776;6,1788;1,6149;0,9116;8,1702;24,276;7,4706;0,8733;9,2428;378,43;19901,98;3,672;107,2565;145,0;181,06;1709,83;20,3572;4,6121;11,2815;1,9623;68,395;4,2138;5,0967;10,648;1,4946;37,021;51,7114;1,1826;19,032
2026-02-16;1,6731;6,1935;1,6155;0,9129;8,1902;24,259;7,4707;0,869;9,265;377,13;19938,0;3,6594;107,5625;145,0;181,79;1708,8;20,3378;4,6235;11,2665;1,9623;68,722;4,2105;5,0954;10,6205;1,4962;36,863;51,8167;1,1855;18,9092
2026-02-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-13;1,6824;6,1916;1,6161;0,9121;8,195;24,263;7,4709;0,8716;9,2725;379,08;19955,44;3,6649;107,481;145,0;181,83;1715,78;20,4269;4,6351;11,326;1,9693;68,63;4,215;5,0946;10,6254;1,4992;36,861;51,8843;1,1862;19,019
2026-02-12;1,6678;6,1461;1,6128;0,9142;8,1944;24,245;7,4712;0,8711;9,2815;379,88;19983,94;3,6355;107,565;145,2;182,52;1707,82;20,3934;4,6338;11,2535;1,9588;68,894;4,2158;5,0928;10,567;1,4984;36,809;51,8294;1,1874;18,874
2026-02-11;1,6737;6,1753;1,6138;0,9136;8,2245;24,245;7,4698;0,8699;9,3013;379,03;19992,0;3,6604;107,9515;145,2;182,79;1727,84;20,4719;4,6589;11,265;1,9637;69,347;4,2135;5,0912;10,564;1,5027;36,991;51,9354;1,19;18,8989
2026-02-10;1,683;6,1929;1,6141;0,9123;8,2245;24,257;7,4715;0,8695;9,2983;377,95;19966,0;3,6704;107,6878;145,0;184,51;1738,48;20,4998;4,6666;11,3115;1,9687;69,605;4,217;5,0912;10,6135;1,5061;37,151;51,8989;1,1894;18,9797
2026-02-09;1,6843;6,1725;1,6174;0,915;8,2281;24,217;7,4692;0,8701;9,2888;377,08;20000,0;3,6817;107,8375;145,0;185,65;1737,79;20,4582;4,6765;11,429;1,9685;69,516;4,2118;5,0923;10,6505;1,5067;37,055;51,8099;1,1886;18,9883
2026-02-08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-02-06;1,688;6,1767;1,6118;0,9175;8,1838;24,24;7,4672;0,8679;9,2152;377,95;19900,0;3,6916;106,9265;145,2;185,27;1730,68;20,4787;4,6557;11,4695;1,9673;69,047;4,2185;5,092;10,6735;1,5016;37,269;51,4394;1,1794;19,017
2026-02-05;1,6922;6,2059;1,6144;0,9161;8,1869;24,31;7,4662;0,8691;9,2171;379,65;19900,0;3,6752;106,546;144,8;185,11;1728,58;20,5112;4,6567;11,474;1,9676;69,299;4,2205;5,0935;10,641;1,5021;37,488;51,3684;1,1798;19,0889
2026-02-04;1,6814;6,1707;1,6138;0,9168;8,2051;24,357;7,4673;0,8616;9,2334;380,38;19850,0;3,6478;106,8698;145,0;185,15;1720,7;20,3808;4,6476;11,3995;1,9602;69,721;4,2235;5,0949;10,577;1,5027;37,39;51,4285;1,182;18,8381
2026-02-03;1,683;6,1685;1,6116;0,9173;8,1877;24,312;7,4687;0,8623;9,2201;380,4;19790,0;3,6419;106,371;145,0;183,92;1709,44;20,4245;4,6407;11,422;1,9532;69,732;4,2205;5,0951;10,5485;1,4994;37,25;51,3246;1,1801;18,8218
2026-02-02;1,7042;6,2222;1,6157;0,9199;8,221;24,305;7,4691;0,8658;9,2484;381,2;19890,0;3,6738;108,417;145,0;183,59;1719,74;20,6131;4,6673;11,4655;1,9705;69,754;4,2173;5,096;10,5935;1,5055;37,432;51,4941;1,184;18,9774
2026-02-01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-30;1,7001;6,2233;1,612;0,9157;8,2834;24,325;7,4674;0,8662;9,3067;380,7;20010,0;3,6799;109,5825;145,2;183,59;1719,47;20,5979;4,7044;11,3885;1,966;70,211;4,2073;5,0964;10,5205;1,5111;37,455;51,8324;1,1919;18,9906
2026-01-29;1,6935;6,2011;1,6186;0,9182;8,3132;24,335;7,4668;0,8662;9,3407;380,73;20085,0;3,6831;110,007;144,8;183,48;1712,42;20,5261;4,7004;11,418;1,9689;70,606;4,2033;5,0965;10,5645;1,5128;37,34;51,9709;1,1968;18,7584
2026-01-28;1,7107;6,1949;1,6242;0,9188;8,3176;24,294;7,4666;0,8685;9,3415;380,9;20047,0;3,7023;110,093;145,0;182,76;1710,88;20,5413;4,6926;11,523;1,9859;70,353;4,2028;5,0965;10,5885;1,5108;37,251;51,9846;1,1974;19,0178
2026-01-27;1,7167;6,2692;1,6316;0,9197;8,2964;24,267;7,4677;0,8683;9,3046;380,6;19940,0;3,7012;109,288;145,2;182,92;1719,21;20,6353;4,7149;11,567;1,9907;70,434;4,2023;5,0965;10,582;1,5096;37,022;51,7761;1,1929;19,0714
2026-01-26;1,7133;6,2569;1,623;0,9223;8,2312;24,251;7,4678;0,8675;9,2289;381,85;19857,61;3,7118;108,6115;145,4;182,52;1713,58;20,5826;4,6936;11,6015;1,9877;70,017;4,2085;5,0965;10,6265;1,5044;36,869;51,3402;1,1836;19,0243
2026-01-25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-23;1,7104;6,2011;1,6161;0,9277;8,1778;24,257;7,4686;0,8681;9,1561;382,15;19753,87;3,689;107,864;146,0;185,71;1723,2;20,4816;4,7033;11,542;1,9855;69,368;4,2035;5,0945;10,5705;1,5016;36,594;50,9084;1,1742;18,9582
2026-01-22;1,7197;6,2218;1,6171;0,9283;8,1658;24,31;7,4688;0,8722;9,1283;382,7;19753,87;3,6754;107,216;146,0;185,88;1718,11;20,4678;4,7292;11,576;1,991;69,227;4,2063;5,0923;10,594;1,5026;36,675;50,6678;1,1706;18,9855
2026-01-21;1,734;6,2773;1,6192;0,9268;8,1749;24,356;7,4705;0,8744;9,1532;385,65;19851,53;3,7235;107,5775;146,2;185,23;1719,32;20,5175;4,7508;11,6365;2,0019;69,537;4,2275;5,0947;10,661;1,5045;36,47;50,8278;1,1739;19,147
2026-01-20;1,742;6,3209;1,6215;0,9268;8,1614;24,333;7,4708;0,8722;9,1456;385,85;19874,44;3,7156;106,677;146,2;185,18;1731,99;20,6693;4,7551;11,7155;2,0098;69,527;4,2273;5,0924;10,708;1,5045;36,456;50,7505;1,1728;19,2821
2026-01-19;1,7342;6,242;1,6149;0,9282;8,0991;24,29;7,4717;0,8671;9,0685;386,15;19741,53;3,676;105,6965;146,2;183,69;1713,48;20,5049;4,7164;11,7295;2,0098;69,139;4,2253;5,092;10,73;1,4946;36,353;50,3298;1,1631;19,0951
2026-01-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-16;1,7344;6,2411;1,6135;0,9313;8,0967;24,286;7,4712;0,867;9,0613;385,33;19653,76;3,66;105,397;146,4;183,67;1711,1;20,5333;4,7136;11,7203;2,0179;68,995;4,2248;5,0908;10,719;1,4962;36,535;50,2784;1,1617;19,0382
2026-01-15;1,7382;6,2557;1,6162;0,9314;8,0988;24,278;7,4721;0,8674;9,0657;385,65;19640,96;3,6686;104,9647;146,2;184,31;1706,77;20,6776;4,715;11,72;2,0246;69,182;4,2093;5,0892;10,6985;1,4969;36,494;50,2037;1,1624;19,0309
2026-01-14;1,745;6,2544;1,6169;0,9333;8,1247;24,262;7,4723;0,8668;9,0841;386,95;19656,93;3,6831;105,2118;146,4;184,82;1719,0;20,7518;4,7163;11,733;2,0303;69,282;4,218;5,0897;10,723;1,5007;36,672;50,309;1,1651;19,102
2026-01-13;1,7394;6,2736;1,6172;0,9311;8,1294;24,253;7,4726;0,866;9,0925;386,75;19652,84;3,6721;105,1478;146,6;185,12;1717,89;20,8587;4,7286;11,756;2,0231;69,291;4,2118;5,0895;10,7135;1,5006;36,681;50,2941;1,1654;19,1755
2026-01-12;1,7409;6,2863;1,6219;0,9313;8,1529;24,288;7,4722;0,8674;9,1156;386,85;19751,3;3,6867;105,419;147,2;184,42;1715,11;20,932;4,7499;11,7445;2,027;69,38;4,2093;5,0892;10,7008;1,5019;36,508;50,4268;1,1692;19,1618
2026-01-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-09;1,7441;6,2733;1,6163;0,9314;8,1288;24,337;7,4724;0,8677;9,0763;386,03;19628,24;3,6745;105,0335;147,4;183,52;1699,55;20,9879;4,7424;11,7765;2,0339;68,935;4,2138;5,0902;10,748;1,4984;36,632;50,1841;1,1642;19,2966
2026-01-08;1,7433;6,2811;1,6183;0,9312;8,1513;24,262;7,472;0,8687;9,0981;384,75;19655,85;3,7003;104,988;147,2;182,97;1695,57;20,9729;4,743;11,7935;2,0313;69,073;4,2093;5,0883;10,766;1,4995;36,823;50,2588;1,1675;19,2811
2026-01-07;1,7367;6,2995;1,6135;0,9304;8,1685;24,29;7,4725;0,8664;9,0976;384,98;19592,02;3,7115;104,9835;147,2;182,91;1691,47;21,009;4,7414;11,7585;2,02;69,305;4,2148;5,0885;10,7365;1,4972;36,606;50,2911;1,1684;19,2252
2026-01-06;1,7422;6,3201;1,6129;0,9287;8,1766;24,195;7,4727;0,8663;9,1172;385,03;19632,64;3,7025;105,5405;147,2;183,14;1695,93;21,0227;4,7378;11,7285;2,0232;69,317;4,2105;5,0891;10,765;1,4984;36,608;50,3894;1,1707;19,1951
2026-01-05;1,7492;6,347;1,6087;0,9289;8,1478;24,195;7,4695;0,8676;9,0822;384,55;19524,95;3,685;105,316;147,4;182,93;1690,44;21,0067;4,7502;11,7795;2,0296;68,91;4,2178;5,0875;10,787;1,5018;36,596;50,2042;1,1664;19,2268
2026-01-04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2026-01-02;1,7508;6,3743;1,6097;0,9296;8,1973;24,177;7,4694;0,8719;9,1329;383,58;19593,06;3,7214;105,719;147,4;183,94;1693,53;21,0274;4,7517;11,7985;2,0317;68,975;4,2123;5,0895;10,8085;1,5077;36,792;50,4332;1,1721;19,3561
2026-01-01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-31;1,7581;6,4364;1,6088;0,9314;8,2262;24,237;7,4689;0,8726;9,1464;385,15;19640,83;3,7471;105,5965;147,2;184,09;1696,94;21,118;4,7682;11,843;2,038;69,266;4,221;5,0968;10,8215;1,5105;37,218;50,4838;1,175;19,4439
2025-12-30;1,7543;6,4929;1,6104;0,9293;8,2216;24,255;7,4689;0,8712;9,1511;385,95;19711,02;3,7435;105,58;147,2;183,48;1697,65;21,1208;4,7581;11,826;2,0278;69,166;4,2263;5,0969;10,818;1,5095;36,935;50,4647;1,1757;19,5571
2025-12-29;1,7583;6,5545;1,6106;0,9293;8,2438;24,281;7,4692;0,8726;9,1467;387,5;19732,82;3,7605;105,776;147,8;183,97;1690,95;21,0997;4,777;11,827;2,0295;69,26;4,2295;5,0947;10,816;1,5122;36,992;50,5179;1,1766;19,597
2025-12-28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-24;1,7587;6,5076;1,6128;0,9284;8,2679;24,271;7,4694;0,8729;9,1655;389,53;19740,28;3,7514;105,7755;148,0;183,83;1707,04;21,1015;4,7678;11,804;2,0197;69,269;4,2135;5,0899;10,8055;1,5135;36,593;50,5072;1,1787;19,6091
2025-12-23;1,7607;6,5851;1,6148;0,9287;8,2833;24,321;7,4702;0,8729;9,1674;391,03;19785,0;3,7689;105,5479;148,0;183,89;1745,36;21,1489;4,7898;11,849;2,0189;69,33;4,232;5,0894;10,82;1,5153;36,666;50,4793;1,1786;19,6054
2025-12-22;1,7667;6,4943;1,6168;0,9316;8,265;24,32;7,4706;0,8742;9,1362;387,88;19703,41;3,7618;105,29;147,6;184,77;1738,72;21,1438;4,7896;11,8875;2,0283;68,963;4,2138;5,088;10,856;1,515;36,586;50,2795;1,1745;19,6133
2025-12-21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-19;1,7739;6,4762;1,6155;0,9318;8,2465;24,323;7,4712;0,876;9,113;386,8;19600,62;3,7637;105,054;147,2;184,15;1731,88;21,0992;4,775;11,915;2,041;68,746;4,2105;5,0896;10,904;1,5143;36,846;50,1381;1,1712;19,6485
2025-12-18;1,7734;6,5012;1,6161;0,9316;8,2517;24,392;7,4713;0,8746;9,119;387,9;19591,06;3,7703;105,7785;147,8;182,55;1731,18;21,0966;4,7884;11,9545;2,0324;68,681;4,2053;5,0907;10,9015;1,5129;36,862;50,0799;1,1719;19,6613
2025-12-17;1,7704;6,4498;1,6165;0,9332;8,2569;24,346;7,4718;0,8785;9,1207;387,15;19566,25;3,7786;105,9275;148,0;182,38;1734,13;21,0827;4,7925;11,9858;2,0294;68,772;4,21;5,0921;10,936;1,5142;36,942;50,0808;1,1722;19,6148
2025-12-16;1,7737;6,3965;1,6206;0,9351;8,293;24,317;7,471;0,8764;9,1609;384,3;19625,29;3,7958;107,069;148,0;182,07;1734,89;21,1527;4,8111;11,985;2,0346;69,049;4,2208;5,0929;10,942;1,5176;37,071;50,3008;1,1776;19,7365
2025-12-15;1,7669;6,3322;1,6169;0,9355;8,2824;24,299;7,4704;0,8779;9,1462;385,15;19607,06;3,7742;106,653;148,2;182,32;1721,99;21,1322;4,8099;11,9075;2,029;69,3;4,2215;5,0929;10,9155;1,5148;36,993;50,184;1,1753;19,7182
2025-12-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2025-12-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
